0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
827181,-3,95,-3,94,-2,94,-2,94,-1,94,0,64,0,64,0,64,0,64,0,64,0,86,0,86,0,85,0,85,0,85,35,827218,14861
827223,-1,94,-1,94,0,94,0,94,0,94,0,64,0,64,0,64,0,64,0,64,0,85,0,85,0,85,0,85,0,85,35,827259,14901
827263,0,94,1,94,1,94,2,94,2,94,0,64,0,64,-1,64,-1,64,-2,64,0,85,1,85,2,85,1,85,0,85,35,827301,14942
827304,2,94,2,94,2,95,4,95,5,95,-2,64,-2,64,-2,64,-1,64,0,65,0,85,0,84,0,84,1,83,1,83,35,827346,14990
827352,6,96,6,96,4,96,4,96,3,97,0,65,-1,65,-1,65,-1,65,0,65,1,82,1,82,-3,82,-3,82,-5,82,35,827388,15029
827391,2,97,2,97,2,97,2,98,2,98,0,65,0,65,2,65,3,66,3,66,-5,82,-5,82,-3,82,-3,83,-3,84,35,827428,15070
827431,2,99,2,100,2,100,1,100,1,101,3,66,3,67,3,67,2,67,1,67,-2,86,-1,87,-1,88,-1,88,-1,88,35,827468,15111
827473,1,101,1,102,1,102,0,103,0,103,1,67,0,67,0,67,-1,67,-1,67,-1,88,0,87,0,87,0,87,0,87,35,827509,15151
827513,0,103,-1,103,-1,103,-2,103,-2,104,-1,66,-1,66,0,66,0,66,0,66,0,86,-1,86,0,86,0,86,0,86,35,827552,15194
827556,-2,104,-3,104,-3,104,-3,105,-4,105,0,66,0,66,0,65,0,65,1,65,0,86,0,87,0,87,0,88,0,88,35,827596,15241
827602,-4,105,-5,106,-5,106,-5,106,-4,106,1,65,1,65,1,65,1,65,1,65,0,88,0,89,0,89,1,89,1,89,35,827642,15284
827646,-4,106,-3,106,-2,106,-2,106,-2,106,1,65,1,65,0,65,0,65,0,65,1,89,1,89,1,88,1,88,1,87,35,827687,15329
827691,-1,106,-1,106,0,106,0,106,0,106,0,65,0,65,0,65,0,64,0,64,1,86,1,86,1,86,1,85,1,84,35,827728,15370
827731,1,106,1,106,2,106,3,106,3,105,0,64,0,64,0,64,0,64,0,64,1,84,1,84,0,83,1,83,1,83,35,827768,15411
827773,3,105,4,105,4,105,5,104,6,104,0,64,-2,63,-3,63,-4,63,-3,63,1,82,0,82,0,81,0,81,0,81,35,827809,15454
827813,6,104,7,103,7,103,5,103,4,103,-3,62,-2,62,-2,62,-2,61,-2,61,0,80,-2,80,-4,81,-5,81,-5,82,35,827852,15493
827856,4,103,0,103,0,102,0,102,-1,101,-2,61,-2,62,-2,62,-3,62,-3,62,-5,82,-3,83,-3,84,-3,84,-2,85,35,827896,15541
827902,-1,101,-1,100,0,100,0,99,1,99,-3,62,-2,62,-1,62,0,62,1,63,-1,86,-1,86,-1,86,0,86,0,86,35,827942,15584
827946,1,99,1,98,0,98,0,98,0,98,1,63,2,63,3,63,3,63,3,63,0,86,0,85,-2,85,-2,85,-2,86,35,827987,15629
